Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,doctor,hospital
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,Dr.John Smith,City Care Hospital
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dr.John Smith,City Care Hospital
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dr.John Smith,City Care Hospital
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,Dr.John Smith,City Care Hospital
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,Dr.John Smith,City Care Hospital
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dr.John Smith,City Care Hospital
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dr.John Smith,Meadowview General Hospital
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,Dr.John Smith,Meadowview General Hospital
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,Dr.John Smith,Meadowview General Hospital
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,Dr.John Smith,Meadowview General Hospital
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,Dr.Angela Wu,Meadowview General Hospital
